openalex_id,title,year,doi,url,citations,abstract,matched_queries,decision,reason
https://openalex.org/W1986662234,mapman : a user‐driven tool to display genomics data sets onto diagrams of metabolic pathways and other biological processes,2004,https://doi.org/10.1111/j.1365-313x.2004.02016.x,https://doi.org/10.1111/j.1365-313x.2004.02016.x,3451,"MAPMAN is a user-driven tool that displays large data sets onto diagrams of metabolic pathways or other processes. SCAVENGER modules assign the measured parameters to hierarchical categories (formed 'BINs', 'subBINs'). A first build of TRANSCRIPTSCAVENGER groups genes on the Arabidopsis Affymetrix 22K array into >200 hierarchical categories, providing a breakdown of central metabolism (for several pathways, down to the single enzyme level), and an overview of secondary metabolism and cellular processes. METABOLITESCAVENGER groups hundreds of metabolites into pathways or groups of structurally related compounds. An IMAGEANNOTATOR module uses these groupings to organise and display experimental data sets onto diagrams of the users' choice. A modular structure allows users to edit existing categories, add new categories and develop SCAVENGER modules for other sorts of data. MAPMAN is used to analyse two sets of 22K Affymetrix arrays that investigate the response of Arabidopsis rosettes to low sugar: one investigates the response to a 6-h extension of the night, and the other compares wild-type Columbia-0 (Col-0) and the starchless pgm mutant (plastid phosphoglucomutase) at the end of the night. There were qualitatively similar responses in both treatments. Many genes involved in photosynthesis, nutrient acquisition, amino acid, nucleotide, lipid and cell wall synthesis, cell wall modification, and RNA and protein synthesis were repressed. Many genes assigned to amino acid, nucleotide, lipid and cell wall breakdown were induced. Changed expression of genes for trehalose metabolism point to a role for trehalose-6-phosphate (Tre6P) as a starvation signal. Widespread changes in the expression of genes encoding receptor kinases, transcription factors, components of signalling pathways, proteins involved in post-translational modification and turnover, and proteins involved in the synthesis and sensing of cytokinins, abscisic acid (ABA) and ethylene revealing large-scale rewiring of the regulatory network is an early response to sugar depletion.",day night image translation,retain,"night, translation"
https://openalex.org/W2552465644,Image-to-Image Translation with Conditional Adversarial Networks,2017,https://doi.org/10.1109/cvpr.2017.632,https://doi.org/10.1109/cvpr.2017.632,1563,"We investigate conditional adversarial networks as a general-purpose solution to image-to-image translation problems. These networks not only learn the mapping from input image to output image, but also learn a loss function to train this mapping. This makes it possible to apply the same generic approach to problems that traditionally would require very different loss formulations. We demonstrate that this approach is effective at synthesizing photos from label maps, reconstructing objects from edge maps, and colorizing images, among other tasks. Moreover, since the release of the pi×2pi× software associated with this paper, hundreds of twitter users have posted their own artistic experiments using our system. As a community, we no longer hand-engineer our mapping functions, and this work suggests we can achieve reasonable results without handengineering our loss functions either.",day night image translation,retain,translation
https://openalex.org/W2596603442,Person Recognition System Based on a Combination of Body Images from Visible Light and Thermal Cameras,2017,https://doi.org/10.3390/s17030605,https://doi.org/10.3390/s17030605,799,"The human body contains identity information that can be used for the person recognition (verification/recognition) problem. In this paper, we propose a person recognition method using the information extracted from body images. Our research is novel in the following three ways compared to previous studies. First, we use the images of human body for recognizing individuals. To overcome the limitations of previous studies on body-based person recognition that use only visible light images for recognition, we use human body images captured by two different kinds of camera, including a visible light camera and a thermal camera. The use of two different kinds of body image helps us to reduce the effects of noise, background, and variation in the appearance of a human body. Second, we apply a state-of-the art method, called convolutional neural network (CNN) among various available methods, for image features extraction in order to overcome the limitations of traditional hand-designed image feature extraction methods. Finally, with the extracted image features from body images, the recognition task is performed by measuring the distance between the input and enrolled samples. The experimental results show that the proposed method is efficient for enhancing recognition accuracy compared to systems that use only visible light or thermal images of the human body.",day night image translation,retain,noise
https://openalex.org/W1989249852,Lost in translation: Exploring the ethical consumer intention–behavior gap,2012,https://doi.org/10.1016/j.jbusres.2012.09.022,https://doi.org/10.1016/j.jbusres.2012.09.022,796,,day night image translation,retain,translation
https://openalex.org/W2081418206,Deep photo,2008,https://doi.org/10.1145/1409060.1409069,https://doi.org/10.1145/1409060.1409069,722,"In this paper, we introduce a novel system for browsing, enhancing, and manipulating casual outdoor photographs by combining them with already existing georeferenced digital terrain and urban models. A simple interactive registration process is used to align a photograph with such a model. Once the photograph and the model have been registered, an abundance of information, such as depth, texture, and GIS data, becomes immediately available to our system. This information, in turn, enables a variety of operations, ranging from dehazing and relighting the photograph, to novel view synthesis, and overlaying with geographic information. We describe the implementation of a number of these applications and discuss possible extensions. Our results show that augmenting photographs with already available 3D models of the world supports a wide variety of new ways for us to experience and interact with our everyday snapshots.",single image relighting inverse rendering,retain,relight
https://openalex.org/W2989855043,Few-Shot Unsupervised Image-to-Image Translation,2019,https://doi.org/10.1109/iccv.2019.01065,https://doi.org/10.1109/iccv.2019.01065,648,"Unsupervised image-to-image translation methods learn to map images in a given class to an analogous image in a different class, drawing on unstructured (non-registered) datasets of images. While remarkably successful, current methods require access to many images in both source and destination classes at training time. We argue this greatly limits their use. Drawing inspiration from the human capability of picking up the essence of a novel object from a small number of examples and generalizing from there, we seek a few-shot, unsupervised image-to-image translation algorithm that works on previously unseen target classes that are specified, at test time, only by a few example images. Our model achieves this few-shot generation capability by coupling an adversarial training scheme with a novel network design. Through extensive experimental validation and comparisons to several baseline methods on benchmark datasets, we verify the effectiveness of the proposed framework. Our implementation and datasets are available at https://github.com/NVlabs/FUNIT.",unpaired image translation structure preservation,retain,translation
https://openalex.org/W3180794345,Learning an animatable detailed 3D face model from in-the-wild images,2021,https://doi.org/10.1145/3450626.3459936,https://doi.org/10.1145/3450626.3459936,640,"While current monocular 3D face reconstruction methods can recover fine geometric details, they suffer several limitations. Some methods produce faces that cannot be realistically animated because they do not model how wrinkles vary with expression. Other methods are trained on high-quality face scans and do not generalize well to in-the-wild images. We present the first approach that regresses 3D face shape and animatable details that are specific to an individual but change with expression. Our model, DECA (Detailed Expression Capture and Animation), is trained to robustly produce a UV displacement map from a low-dimensional latent representation that consists of person-specific detail parameters and generic expression parameters, while a regressor is trained to predict detail, shape, albedo, expression, pose and illumination parameters from a single image. To enable this, we introduce a novel detail-consistency loss that disentangles person-specific details from expression-dependent wrinkles. This disentanglement allows us to synthesize realistic person-specific wrinkles by controlling expression parameters while keeping person-specific details unchanged. DECA is learned from in-the-wild images with no paired 3D supervision and achieves state-of-the-art shape reconstruction accuracy on two benchmarks. Qualitative results on in-the-wild data demonstrate DECA's robustness and its ability to disentangle identity- and expression-dependent details enabling animation of reconstructed faces. The model and code are publicly available at https://deca.is.tue.mpg.de.",single image relighting inverse rendering,retain,illumination
https://openalex.org/W2136748901,Deriving intrinsic images from image sequences,2002,https://doi.org/10.1109/iccv.2001.937606,https://doi.org/10.1109/iccv.2001.937606,585,"Intrinsic images are a useful midlevel description of scenes proposed by H.G. Barrow and J.M. Tenenbaum (1978). An image is de-composed into two images: a reflectance image and an illumination image. Finding such a decomposition remains a difficult problem in computer vision. We focus on a slightly, easier problem: given a sequence of T images where the reflectance is constant and the illumination changes, can we recover T illumination images and a single reflectance image? We show that this problem is still imposed and suggest approaching it as a maximum-likelihood estimation problem. Following recent work on the statistics of natural images, we use a prior that assumes that illumination images will give rise to sparse filter outputs. We show that this leads to a simple, novel algorithm for recovering reflectance images. We illustrate the algorithm's performance on real and synthetic image sequences.",intrinsic image decomposition reflectance illumination,retain,"illumination, intrinsic, reflectance"
https://openalex.org/W1974989605,REVIEW: Reducing the ecological consequences of night‐time light pollution: options and developments,2012,https://doi.org/10.1111/j.1365-2664.2012.02212.x,https://doi.org/10.1111/j.1365-2664.2012.02212.x,515,"1. Much concern has been expressed about the ecological consequences of night-time light pollution. This concern is most often focused on the encroachment of artificial light into previously unlit areas of the night-time environment, but changes in the spectral composition, duration and spatial pattern of light are also recognized as having ecological effects.2. Here, we examine the potential consequences for organisms of five management options to reduce night-time light pollution. These are to (i) prevent areas from being artificially lit; (ii) limit the duration of lighting; (iii) reduce the 'trespass' of lighting into areas that are not intended to be lit (including the night sky); (iv) change the intensity of lighting; and (v) change the spectral composition of lighting.3. Maintaining and increasing natural unlit areas is likely to be the most effective option for reducing the ecological effects of lighting. However, this will often conflict with other social and economic objectives. Decreasing the duration of lighting will reduce energy costs and carbon emissions, but is unlikely to alleviate many impacts on nocturnal and crepuscular animals, as peak times of demand for lighting frequently coincide with those in the activities of these species. Reducing the trespass of lighting will maintain heterogeneity even in otherwise well-lit areas, providing dark refuges that mobile animals can exploit. Decreasing the intensity of lighting will reduce energy consumption and limit both skyglow and the area impacted by high-intensity direct light. Shifts towards 'whiter' light are likely to increase the potential range of environmental impacts as light is emitted across a broader range of wavelengths.4.Synthesis and applications. The artificial lightscape will change considerably over coming decades with the drive for more cost-effective low-carbon street lighting solutions and growth in the artificially lit area. Developing lighting strategies that minimize adverse ecological impacts while balancing the often conflicting requirements of light for human utility, comfort and safety, aesthetic concerns, energy consumption and carbon emission reduction constitute significant future challenges. However, as both lighting technology and understanding of its ecological effects develop, there is potential to identify adaptive solutions that resolve these conflicts.",night image synthesis camera noise glare reflection,retain,night
https://openalex.org/W2115217762,The biological impacts of artificial light at night: the research challenge,2015,https://doi.org/10.1098/rstb.2014.0133,https://doi.org/10.1098/rstb.2014.0133,514,(Uploaded by Plazi for the Bat Literature Project) No abstract provided.,day night image translation,retain,night
